customer_id,contract_id,contract_seq,industry,company_size,account_created_date,contract_start_date,contract_end_date,contract_term_months,tenure_months,renewal_count,managed_service_plan,support_plan
CUST_00000,CUST_00000_C1,1,물류/운송,5-49인,2024-07-04,2024-07-04,2025-07-04,12,0,0,Basic,Standard
CUST_00001,CUST_00001_C1,1,제조업,5-49인,2022-06-01,2022-06-01,2023-06-01,12,0,0,Basic,Standard
CUST_00002,CUST_00002_C1,1,IT/소프트웨어,5-49인,2022-10-20,2022-10-20,2024-10-20,24,0,0,Basic,Standard
CUST_00002,CUST_00002_C2,2,IT/소프트웨어,5-49인,2022-10-20,2024-10-21,2025-10-21,12,24,1,Basic,Priority
CUST_00003,CUST_00003_C1,1,IT/소프트웨어,5-49인,2023-05-15,2023-05-15,2025-05-15,24,0,0,Basic,Enterprise
CUST_00004,CUST_00004_C1,1,의료/헬스케어,5-49인,2024-05-21,2024-05-21,2026-05-21,24,0,0,Standard,Priority
CUST_00004,CUST_00004_C2,2,의료/헬스케어,5-49인,2024-05-21,2026-05-22,2027-05-22,12,24,1,Standard,Priority
CUST_00004,CUST_00004_C3,3,의료/헬스케어,5-49인,2024-05-21,2027-05-23,2028-05-23,12,36,2,Standard,Priority
CUST_00005,CUST_00005_C1,1,IT/소프트웨어,50-299인,2025-04-30,2025-04-30,2026-04-30,12,0,0,Basic,Priority
CUST_00005,CUST_00005_C2,2,IT/소프트웨어,50-299인,2025-04-30,2026-05-01,2029-05-01,36,13,1,Standard,Priority
CUST_00005,CUST_00005_C3,3,IT/소프트웨어,50-299인,2025-04-30,2029-05-02,2031-05-02,24,49,2,Standard,Enterprise
CUST_00006,CUST_00006_C1,1,IT/소프트웨어,5-49인,2021-09-24,2021-09-24,2022-09-24,12,0,0,Standard,Priority
CUST_00006,CUST_00006_C2,2,IT/소프트웨어,5-49인,2021-09-24,2022-09-25,2023-09-25,12,12,1,Standard,Enterprise
CUST_00006,CUST_00006_C3,3,IT/소프트웨어,5-49인,2021-09-24,2023-09-26,2024-09-26,12,24,2,Standard,Priority
CUST_00007,CUST_00007_C1,1,제조업,5-49인,2022-10-25,2022-10-25,2024-10-25,24,0,0,Basic,Standard
CUST_00008,CUST_00008_C1,1,의료/헬스케어,5-49인,2025-11-14,2025-11-14,2026-11-14,12,0,0,Basic,Standard
CUST_00009,CUST_00009_C1,1,제조업,5-49인,2025-03-27,2025-03-27,2026-03-27,12,0,0,Basic,Priority
CUST_00009,CUST_00009_C2,2,제조업,5-49인,2025-03-27,2026-03-28,2027-03-28,12,12,1,Basic,Standard
CUST_00010,CUST_00010_C1,1,제조업,5-49인,2025-09-26,2025-09-26,2028-09-26,36,0,0,Basic,Standard
CUST_00011,CUST_00011_C1,1,교육,5-49인,2023-04-08,2023-04-08,2024-04-08,12,0,0,Basic,Standard
CUST_00011,CUST_00011_C2,2,교육,5-49인,2023-04-08,2024-04-09,2026-04-09,24,12,1,Basic,Standard
CUST_00012,CUST_00012_C1,1,물류/운송,5-49인,2023-01-17,2023-01-17,2025-01-17,24,0,0,Standard,Priority
CUST_00012,CUST_00012_C2,2,물류/운송,5-49인,2023-01-17,2025-01-18,2026-01-18,12,24,1,Standard,Standard
CUST_00012,CUST_00012_C3,3,물류/운송,5-49인,2023-01-17,2026-01-19,2027-01-19,12,36,2,Standard,Standard
CUST_00013,CUST_00013_C1,1,제조업,5-49인,2024-12-30,2024-12-30,2025-12-30,12,0,0,Standard,Priority
CUST_00013,CUST_00013_C2,2,제조업,5-49인,2024-12-30,2025-12-31,2027-12-31,24,12,1,Standard,Enterprise
CUST_00014,CUST_00014_C1,1,금융/보험,5-49인,2026-04-16,2026-04-16,2028-04-16,24,0,0,Basic,Standard
CUST_00015,CUST_00015_C1,1,금융/보험,5-49인,2023-08-10,2023-08-10,2024-08-10,12,0,0,Basic,Standard
CUST_00015,CUST_00015_C2,2,금융/보험,5-49인,2023-08-10,2024-08-11,2025-08-11,12,12,1,Basic,Standard
CUST_00015,CUST_00015_C3,3,금융/보험,5-49인,2023-08-10,2025-08-12,2026-08-12,12,24,2,Basic,Standard
CUST_00016,CUST_00016_C1,1,IT/소프트웨어,50-299인,2022-08-06,2022-08-06,2023-08-06,12,0,0,Premium,Enterprise
CUST_00017,CUST_00017_C1,1,물류/운송,5-49인,2026-05-13,2026-05-13,2028-05-13,24,0,0,Premium,Priority
CUST_00017,CUST_00017_C2,2,물류/운송,5-49인,2026-05-13,2028-05-14,2029-05-14,12,24,1,Premium,Enterprise
CUST_00018,CUST_00018_C1,1,유통/커머스,5-49인,2025-04-25,2025-04-25,2027-04-25,24,0,0,Standard,Enterprise
CUST_00018,CUST_00018_C2,2,유통/커머스,5-49인,2025-04-25,2027-04-26,2028-04-26,12,24,1,Standard,Priority
CUST_00018,CUST_00018_C3,3,유통/커머스,5-49인,2025-04-25,2028-04-27,2029-04-27,12,36,2,Standard,Enterprise
CUST_00019,CUST_00019_C1,1,IT/소프트웨어,5-49인,2025-06-09,2025-06-09,2026-06-09,12,0,0,Standard,Standard
CUST_00020,CUST_00020_C1,1,유통/커머스,50-299인,2025-04-30,2025-04-30,2026-04-30,12,0,0,Standard,Enterprise
CUST_00020,CUST_00020_C2,2,유통/커머스,50-299인,2025-04-30,2026-05-01,2027-05-01,12,13,1,Standard,Priority
CUST_00020,CUST_00020_C3,3,유통/커머스,50-299인,2025-04-30,2027-05-02,2028-05-02,12,25,2,Standard,Priority
CUST_00021,CUST_00021_C1,1,금융/보험,5-49인,2022-02-03,2022-02-03,2023-02-03,12,0,0,Basic,Standard
CUST_00021,CUST_00021_C2,2,금융/보험,5-49인,2022-02-03,2023-02-04,2025-02-04,24,12,1,Basic,Standard
CUST_00021,CUST_00021_C3,3,금융/보험,5-49인,2022-02-03,2025-02-05,2026-02-05,12,36,2,Basic,Enterprise
CUST_00022,CUST_00022_C1,1,유통/커머스,5-49인,2025-12-13,2025-12-13,2026-12-13,12,0,0,Basic,Standard
CUST_00022,CUST_00022_C2,2,유통/커머스,5-49인,2025-12-13,2026-12-14,2027-12-14,12,12,1,Basic,Standard
CUST_00022,CUST_00022_C3,3,유통/커머스,5-49인,2025-12-13,2027-12-15,2028-12-15,12,24,2,Basic,Standard
CUST_00023,CUST_00023_C1,1,IT/소프트웨어,5-49인,2026-06-17,2026-06-17,2028-06-17,24,0,0,Standard,Priority
CUST_00024,CUST_00024_C1,1,금융/보험,300인이상,2026-03-31,2026-03-31,2028-03-31,24,0,0,Premium,Enterprise
CUST_00024,CUST_00024_C2,2,금융/보험,300인이상,2026-03-31,2028-04-01,2030-04-01,24,25,1,Premium,Priority
CUST_00024,CUST_00024_C3,3,금융/보험,300인이상,2026-03-31,2030-04-02,2033-04-02,36,49,2,Premium,Enterprise
CUST_00025,CUST_00025_C1,1,제조업,5-49인,2024-11-10,2024-11-10,2025-11-10,12,0,0,Basic,Priority
CUST_00025,CUST_00025_C2,2,제조업,5-49인,2024-11-10,2025-11-11,2026-11-11,12,12,1,Basic,Priority
CUST_00026,CUST_00026_C1,1,물류/운송,5-49인,2024-06-14,2024-06-14,2026-06-14,24,0,0,Basic,Standard
CUST_00027,CUST_00027_C1,1,제조업,5-49인,2026-02-14,2026-02-14,2029-02-14,36,0,0,Basic,Standard
CUST_00027,CUST_00027_C2,2,제조업,5-49인,2026-02-14,2029-02-15,2030-02-15,12,36,1,Basic,Standard
CUST_00027,CUST_00027_C3,3,제조업,5-49인,2026-02-14,2030-02-16,2032-02-16,24,48,2,Basic,Priority
CUST_00028,CUST_00028_C1,1,의료/헬스케어,5-49인,2025-01-08,2025-01-08,2026-01-08,12,0,0,Basic,Standard
CUST_00029,CUST_00029_C1,1,의료/헬스케어,5-49인,2024-02-03,2024-02-03,2025-02-03,12,0,0,Basic,Priority
CUST_00029,CUST_00029_C2,2,의료/헬스케어,5-49인,2024-02-03,2025-02-04,2027-02-04,24,12,1,Basic,Standard
CUST_00030,CUST_00030_C1,1,의료/헬스케어,5-49인,2024-08-07,2024-08-07,2026-08-07,24,0,0,Basic,Standard
CUST_00031,CUST_00031_C1,1,의료/헬스케어,5-49인,2023-01-25,2023-01-25,2024-01-25,12,0,0,Basic,Standard
CUST_00031,CUST_00031_C2,2,의료/헬스케어,5-49인,2023-01-25,2024-01-26,2026-01-26,24,12,1,Basic,Priority
CUST_00032,CUST_00032_C1,1,IT/소프트웨어,5-49인,2023-12-14,2023-12-14,2025-12-14,24,0,0,Standard,Enterprise
CUST_00032,CUST_00032_C2,2,IT/소프트웨어,5-49인,2023-12-14,2025-12-15,2026-12-15,12,24,1,Standard,Priority
CUST_00032,CUST_00032_C3,3,IT/소프트웨어,5-49인,2023-12-14,2026-12-16,2027-12-16,12,36,2,Standard,Priority
CUST_00033,CUST_00033_C1,1,교육,5-49인,2023-03-11,2023-03-11,2024-03-11,12,0,0,Basic,Standard
CUST_00033,CUST_00033_C2,2,교육,5-49인,2023-03-11,2024-03-12,2026-03-12,24,12,1,Basic,Standard
CUST_00034,CUST_00034_C1,1,유통/커머스,5-49인,2024-10-28,2024-10-28,2026-10-28,24,0,0,Basic,Standard
CUST_00035,CUST_00035_C1,1,IT/소프트웨어,5-49인,2023-05-02,2023-05-02,2024-05-02,12,0,0,Basic,Priority
CUST_00036,CUST_00036_C1,1,제조업,5-49인,2025-08-24,2025-08-24,2026-08-24,12,0,0,Basic,Standard
CUST_00037,CUST_00037_C1,1,IT/소프트웨어,5-49인,2024-02-27,2024-02-27,2025-02-27,12,0,0,Basic,Standard
CUST_00037,CUST_00037_C2,2,IT/소프트웨어,5-49인,2024-02-27,2025-02-28,2026-02-28,12,12,1,Basic,Standard
CUST_00038,CUST_00038_C1,1,IT/소프트웨어,5-49인,2026-02-14,2026-02-14,2027-02-14,12,0,0,Basic,Standard
CUST_00039,CUST_00039_C1,1,금융/보험,5-49인,2024-07-23,2024-07-23,2026-07-23,24,0,0,Basic,Standard
CUST_00039,CUST_00039_C2,2,금융/보험,5-49인,2024-07-23,2026-07-24,2029-07-24,36,24,1,Basic,Standard
CUST_00039,CUST_00039_C3,3,금융/보험,5-49인,2024-07-23,2029-07-25,2032-07-25,36,60,2,Basic,Priority
CUST_00040,CUST_00040_C1,1,제조업,5-49인,2022-10-20,2022-10-20,2023-10-20,12,0,0,Basic,Standard
CUST_00041,CUST_00041_C1,1,유통/커머스,5-49인,2023-11-15,2023-11-15,2026-11-15,36,0,0,Basic,Standard
CUST_00041,CUST_00041_C2,2,유통/커머스,5-49인,2023-11-15,2026-11-16,2028-11-16,24,36,1,Basic,Standard
CUST_00041,CUST_00041_C3,3,유통/커머스,5-49인,2023-11-15,2028-11-17,2029-11-17,12,60,2,Basic,Standard
CUST_00042,CUST_00042_C1,1,유통/커머스,5-49인,2024-11-04,2024-11-04,2027-11-04,36,0,0,Basic,Standard
CUST_00042,CUST_00042_C2,2,유통/커머스,5-49인,2024-11-04,2027-11-05,2030-11-05,36,36,1,Premium,Enterprise
CUST_00043,CUST_00043_C1,1,의료/헬스케어,5-49인,2026-06-17,2026-06-17,2027-06-17,12,0,0,Standard,Priority
CUST_00043,CUST_00043_C2,2,의료/헬스케어,5-49인,2026-06-17,2027-06-18,2030-06-18,36,12,1,Standard,Standard
CUST_00044,CUST_00044_C1,1,유통/커머스,50-299인,2025-05-09,2025-05-09,2026-05-09,12,0,0,Standard,Standard
CUST_00045,CUST_00045_C1,1,기타서비스업,5-49인,2023-12-30,2023-12-30,2024-12-30,12,0,0,Basic,Priority
CUST_00046,CUST_00046_C1,1,유통/커머스,5-49인,2025-09-08,2025-09-08,2026-09-08,12,0,0,Basic,Standard
