contract_id,customer_id,industry,company_size,managed_service_plan,support_plan,contract_term_months,tenure_months,renewal_count,cloud_cost_30d,cost_growth_3m,budget_variance_pct,commitment_utilization_rate,usage_change_3m,idle_resource_ratio,downtime_minutes_90d,unresolved_ticket_rate,avg_resolution_hours,days_since_last_qbr,annual_contract_value,renewal_churn
CUST_00000_C1,CUST_00000,물류/운송,5-49인,Basic,Standard,12,10,0,2014462,0.0339,12.45,0.7056,0.0336,0.2834,182,0.2727,45.39,121.0,24173544,1
CUST_00001_C1,CUST_00001,제조업,5-49인,Basic,Standard,12,10,0,5046717,-0.0016,-0.27,0.7307,-0.034,0.2374,120,0.2273,39.36,120.0,60560604,0
CUST_00002_C1,CUST_00002,IT/소프트웨어,5-49인,Basic,Standard,24,22,0,4696552,-0.0451,2.17,0.6962,0.0778,0.2177,122,0.0,48.61,122.0,56358624,0
CUST_00002_C2,CUST_00002,IT/소프트웨어,5-49인,Basic,Priority,12,34,1,5838308,0.0115,7.58,0.7287,-0.0594,0.2219,127,0.1875,20.11,181.0,73562681,0
CUST_00003_C1,CUST_00003,IT/소프트웨어,5-49인,Basic,Enterprise,24,22,0,1289860,-0.04,2.45,0.7564,0.0449,0.1869,101,0.0476,6.2,31.0,17800068,0
CUST_00004_C1,CUST_00004,의료/헬스케어,5-49인,Standard,Priority,24,22,0,1360833,0.0409,8.02,0.7541,0.029,0.1847,49,0.0,22.69,184.0,18861145,0
CUST_00004_C2,CUST_00004,의료/헬스케어,5-49인,Standard,Priority,12,34,1,1101121,0.0068,5.32,0.7652,-0.0758,0.2001,72,0.0625,28.81,307.0,15261537,0
CUST_00004_C3,CUST_00004,의료/헬스케어,5-49인,Standard,Priority,12,46,2,1061243,-0.0254,1.2,0.738,-0.0915,0.1588,55,0.0,26.76,62.0,14708828,0
CUST_00005_C1,CUST_00005,IT/소프트웨어,50-299인,Basic,Priority,12,10,0,10315814,0.0289,6.26,0.7362,-0.006,0.3055,141,0.0769,26.51,61.0,129979256,0
CUST_00005_C2,CUST_00005,IT/소프트웨어,50-299인,Standard,Priority,36,47,1,13228036,0.0151,20.64,0.5866,-0.0214,0.261,91,0.0769,21.08,62.0,183340579,0
CUST_00005_C3,CUST_00005,IT/소프트웨어,50-299인,Standard,Enterprise,24,71,2,15291842,0.034,22.05,0.6641,-0.1329,0.2029,97,0.0556,7.01,31.0,232130162,0
CUST_00006_C1,CUST_00006,IT/소프트웨어,5-49인,Standard,Priority,12,10,0,2684546,0.0042,9.35,0.7225,-0.0923,0.2094,80,0.1579,21.81,182.0,37207808,0
CUST_00006_C2,CUST_00006,IT/소프트웨어,5-49인,Standard,Enterprise,12,22,1,1800810,-0.0096,3.22,0.7185,-0.0462,0.2609,68,0.0625,7.18,120.0,27336296,0
CUST_00006_C3,CUST_00006,IT/소프트웨어,5-49인,Standard,Priority,12,34,2,1949625,-0.0208,13.66,0.733,-0.0204,0.2159,66,0.2308,15.58,61.0,27021803,0
CUST_00007_C1,CUST_00007,제조업,5-49인,Basic,Standard,24,22,0,9845834,-0.0006,16.32,0.6719,-0.0019,0.2815,146,0.25,59.93,122.0,118150008,0
CUST_00008_C1,CUST_00008,의료/헬스케어,5-49인,Basic,Standard,12,10,0,2072723,-0.029,6.52,0.6344,-0.0421,0.2357,139,0.1818,42.2,122.0,24872676,0
CUST_00009_C1,CUST_00009,제조업,5-49인,Basic,Priority,12,10,0,3477222,-0.03,-1.06,0.6645,-0.0264,0.2403,155,0.1765,24.65,61.0,43812997,0
CUST_00009_C2,CUST_00009,제조업,5-49인,Basic,Standard,12,22,1,4385989,-0.041,1.55,0.6906,-0.0895,0.2128,127,0.0667,61.1,122.0,52631868,0
CUST_00010_C1,CUST_00010,제조업,5-49인,Basic,Standard,36,34,0,5749472,0.0635,5.84,0.7584,0.0142,0.1794,110,0.2,52.96,121.0,68993664,0
CUST_00011_C1,CUST_00011,교육,5-49인,Basic,Standard,12,10,0,2713510,-0.0497,-11.31,0.8126,0.0462,0.1765,68,0.0625,58.59,122.0,32562120,0
CUST_00011_C2,CUST_00011,교육,5-49인,Basic,Standard,24,34,1,2678143,0.0148,11.3,0.6795,-0.1649,0.1921,83,0.2,64.6,306.0,32137716,0
CUST_00012_C1,CUST_00012,물류/운송,5-49인,Standard,Priority,24,22,0,1896841,0.0289,3.55,0.6953,0.0758,0.19,61,0.0714,25.82,61.0,26290216,0
CUST_00012_C2,CUST_00012,물류/운송,5-49인,Standard,Standard,12,34,1,2374647,0.046,3.96,0.6808,0.0506,0.1961,77,0.1667,50.16,122.0,31345340,0
CUST_00012_C3,CUST_00012,물류/운송,5-49인,Standard,Standard,12,46,2,1963355,0.0074,9.69,0.7841,-0.0091,0.2325,37,0.0,51.05,122.0,25916286,0
CUST_00013_C1,CUST_00013,제조업,5-49인,Standard,Priority,12,10,0,5099605,-0.0162,8.43,0.7217,0.003,0.26,69,0.0909,16.44,62.0,70680525,0
CUST_00013_C2,CUST_00013,제조업,5-49인,Standard,Enterprise,24,34,1,5351943,0.0065,9.4,0.7251,0.1135,0.2322,59,0.0,6.12,30.0,81242495,0
CUST_00014_C1,CUST_00014,금융/보험,5-49인,Basic,Standard,24,22,0,7786675,0.0186,17.52,0.6185,0.1246,0.2533,142,0.28,58.02,487.0,93440100,0
CUST_00015_C1,CUST_00015,금융/보험,5-49인,Basic,Standard,12,10,0,3722774,-0.0505,2.79,0.7363,-0.0232,0.226,113,0.1176,55.39,,44673288,0
CUST_00015_C2,CUST_00015,금융/보험,5-49인,Basic,Standard,12,22,1,4201242,0.0485,3.14,0.7048,0.0472,0.2523,143,0.2105,61.17,120.0,50414904,0
