contract_id,customer_id,month_index,month_date,actual_monthly_cost,commitment_utilization_rate,idle_resource_ratio,downtime_minutes
CUST_00000_C1,CUST_00000,1,2024-07-04,1923808,0.6084,0.2042,54
CUST_00000_C1,CUST_00000,2,2024-08-04,1929518,0.5723,0.3359,69
CUST_00000_C1,CUST_00000,3,2024-09-04,2107907,0.5057,0.1871,59
CUST_00000_C1,CUST_00000,4,2024-10-04,1856164,0.7406,0.2815,33
CUST_00000_C1,CUST_00000,5,2024-11-04,1992328,0.6181,0.3964,60
CUST_00000_C1,CUST_00000,6,2024-12-04,1980677,0.6871,0.2712,60
CUST_00000_C1,CUST_00000,7,2025-01-04,1824497,0.7612,0.146,38
CUST_00000_C1,CUST_00000,8,2025-02-04,2022089,0.5684,0.305,59
CUST_00000_C1,CUST_00000,9,2025-03-04,1957571,0.7978,0.3015,71
CUST_00000_C1,CUST_00000,10,2025-04-04,2014462,0.801,0.2805,52
CUST_00000_C1,CUST_00000,11,2025-05-04,2052928,0.6029,0.2705,50
CUST_00000_C1,CUST_00000,12,2025-06-04,1899527,0.7891,0.2714,44
CUST_00001_C1,CUST_00001,1,2022-06-01,4816361,0.7552,0.3133,46
CUST_00001_C1,CUST_00001,2,2022-07-01,5303814,0.7442,0.3001,37
CUST_00001_C1,CUST_00001,3,2022-08-01,5198960,0.7222,0.1188,36
CUST_00001_C1,CUST_00001,4,2022-09-01,5114258,0.6484,0.1866,31
CUST_00001_C1,CUST_00001,5,2022-10-01,5006069,0.8688,0.2731,45
CUST_00001_C1,CUST_00001,6,2022-11-01,5224587,0.7634,0.2195,49
CUST_00001_C1,CUST_00001,7,2022-12-01,5144998,0.6108,0.294,39
CUST_00001_C1,CUST_00001,8,2023-01-01,5023291,0.6169,0.0392,40
CUST_00001_C1,CUST_00001,9,2023-02-01,5280835,0.7339,0.3655,46
CUST_00001_C1,CUST_00001,10,2023-03-01,5046717,0.7902,0.2328,34
CUST_00001_C1,CUST_00001,11,2023-04-01,5056161,0.6932,0.1541,38
CUST_00001_C1,CUST_00001,12,2023-05-01,4969913,0.9742,0.3554,30
CUST_00002_C1,CUST_00002,1,2022-10-20,4467812,0.6364,0.2281,41
CUST_00002_C1,CUST_00002,2,2022-11-20,4766781,0.7956,0.1972,33
CUST_00002_C1,CUST_00002,3,2022-12-20,4477450,0.8073,0.136,30
CUST_00002_C1,CUST_00002,4,2023-01-20,4519569,0.7089,0.1871,36
CUST_00002_C1,CUST_00002,5,2023-02-20,4517874,0.8626,0.262,34
CUST_00002_C1,CUST_00002,6,2023-03-20,4913574,0.7543,0.2347,38
CUST_00002_C1,CUST_00002,7,2023-04-20,4780130,0.6875,0.3074,37
CUST_00002_C1,CUST_00002,8,2023-05-20,5344835,0.7157,0.2367,60
CUST_00002_C1,CUST_00002,9,2023-06-20,4667980,0.7501,0.1396,47
CUST_00002_C1,CUST_00002,10,2023-07-20,5167355,0.7196,0.3596,45
CUST_00002_C1,CUST_00002,11,2023-08-20,4772407,0.813,0.2056,46
CUST_00002_C1,CUST_00002,12,2023-09-20,4908892,0.5281,0.2528,48
CUST_00002_C1,CUST_00002,13,2023-10-20,4740649,0.7122,0.1861,35
CUST_00002_C1,CUST_00002,14,2023-11-20,4603057,0.74,0.2886,40
CUST_00002_C1,CUST_00002,15,2023-12-20,5319605,0.6439,0.2043,41
CUST_00002_C1,CUST_00002,16,2024-01-20,4490490,0.8562,0.1833,57
CUST_00002_C1,CUST_00002,17,2024-02-20,5528305,0.6687,0.2524,52
CUST_00002_C1,CUST_00002,18,2024-03-20,5153481,0.6649,0.1682,63
CUST_00002_C1,CUST_00002,19,2024-04-20,4636218,0.6384,0.2463,53
CUST_00002_C1,CUST_00002,20,2024-05-20,4949093,0.7537,0.137,51
CUST_00002_C1,CUST_00002,21,2024-06-20,4981772,0.7828,0.3742,33
CUST_00002_C1,CUST_00002,22,2024-07-20,4696552,0.6688,0.1281,38
CUST_00002_C1,CUST_00002,23,2024-08-20,5109400,0.6526,0.2578,49
CUST_00002_C1,CUST_00002,24,2024-09-20,5074291,0.7485,0.2049,51
CUST_00002_C2,CUST_00002,1,2024-10-21,5033264,0.7221,0.2109,35
CUST_00002_C2,CUST_00002,2,2024-11-21,5353146,0.8565,0.2581,40
CUST_00002_C2,CUST_00002,3,2024-12-21,5442499,0.7251,0.2669,36
CUST_00002_C2,CUST_00002,4,2025-01-21,5321439,0.7227,0.2727,31
CUST_00002_C2,CUST_00002,5,2025-02-21,5390296,0.7985,0.1969,37
CUST_00002_C2,CUST_00002,6,2025-03-21,5832689,0.8178,0.3149,43
CUST_00002_C2,CUST_00002,7,2025-04-21,5581528,0.6589,0.2487,53
CUST_00002_C2,CUST_00002,8,2025-05-21,5574350,0.826,0.2208,40
CUST_00002_C2,CUST_00002,9,2025-06-21,5584515,0.6586,0.1319,35
CUST_00002_C2,CUST_00002,10,2025-07-21,5838308,0.6123,0.2184,52
CUST_00002_C2,CUST_00002,11,2025-08-21,5614772,0.7823,0.3702,55
CUST_00002_C2,CUST_00002,12,2025-09-21,5744412,0.8322,0.2464,33
CUST_00003_C1,CUST_00003,1,2023-05-15,1231020,0.6637,0.1713,41
CUST_00003_C1,CUST_00003,2,2023-06-15,1139541,0.7258,0.1778,28
CUST_00003_C1,CUST_00003,3,2023-07-15,1196124,0.8329,0.0674,29
CUST_00003_C1,CUST_00003,4,2023-08-15,1172047,0.7029,0.0479,22
CUST_00003_C1,CUST_00003,5,2023-09-15,1236181,0.7188,0.1818,41
CUST_00003_C1,CUST_00003,6,2023-10-15,1309443,0.7265,0.1205,33
CUST_00003_C1,CUST_00003,7,2023-11-15,1227554,0.7126,0.2125,22
CUST_00003_C1,CUST_00003,8,2023-12-15,1227296,0.7532,0.1783,28
CUST_00003_C1,CUST_00003,9,2024-01-15,1286071,0.6818,0.1126,30
CUST_00003_C1,CUST_00003,10,2024-02-15,1325043,0.9071,0.2846,39
CUST_00003_C1,CUST_00003,11,2024-03-15,1160819,0.789,0.1445,19
CUST_00003_C1,CUST_00003,12,2024-04-15,1259186,0.7558,0.1323,33
CUST_00003_C1,CUST_00003,13,2024-05-15,1204990,0.8873,0.3289,47
CUST_00003_C1,CUST_00003,14,2024-06-15,1298403,0.788,0.0996,42
CUST_00003_C1,CUST_00003,15,2024-07-15,1314860,0.6802,0.196,31
CUST_00003_C1,CUST_00003,16,2024-08-15,1269178,0.61,0.3544,28
CUST_00003_C1,CUST_00003,17,2024-09-15,1222335,0.7527,0.1461,30
CUST_00003_C1,CUST_00003,18,2024-10-15,1417978,0.7468,0.1664,38
CUST_00003_C1,CUST_00003,19,2024-11-15,1360069,0.7023,0.2663,37
CUST_00003_C1,CUST_00003,20,2024-12-15,1253173,0.8424,0.1223,23
CUST_00003_C1,CUST_00003,21,2025-01-15,1297300,0.7985,0.195,33
CUST_00003_C1,CUST_00003,22,2025-02-15,1289860,0.6957,0.2255,45
CUST_00003_C1,CUST_00003,23,2025-03-15,1323466,0.7763,0.2081,32
CUST_00003_C1,CUST_00003,24,2025-04-15,1406980,0.7628,0.2517,34
CUST_00004_C1,CUST_00004,1,2024-05-21,1252673,0.8588,0.1343,20
CUST_00004_C1,CUST_00004,2,2024-06-21,1285857,0.715,0.3347,26
CUST_00004_C1,CUST_00004,3,2024-07-21,1166409,0.8107,0.2708,21
CUST_00004_C1,CUST_00004,4,2024-08-21,1186451,0.6462,0.1901,14
CUST_00004_C1,CUST_00004,5,2024-09-21,1126945,0.6319,0.1787,15
CUST_00004_C1,CUST_00004,6,2024-10-21,1352982,0.6482,0.1838,26
CUST_00004_C1,CUST_00004,7,2024-11-21,1341786,0.6478,0.1463,16
CUST_00004_C1,CUST_00004,8,2024-12-21,1206184,0.8662,0.16,18
CUST_00004_C1,CUST_00004,9,2025-01-21,1276700,0.7014,0.1022,12
CUST_00004_C1,CUST_00004,10,2025-02-21,1234534,0.906,0.1899,22
CUST_00004_C1,CUST_00004,11,2025-03-21,1139047,0.7193,0.1241,23
CUST_00004_C1,CUST_00004,12,2025-04-21,1361759,0.7604,0.2021,28
CUST_00004_C1,CUST_00004,13,2025-05-21,1168218,0.7379,0.2149,15
CUST_00004_C1,CUST_00004,14,2025-06-21,1253266,0.6694,0.222,15
CUST_00004_C1,CUST_00004,15,2025-07-21,1364183,0.791,0.213,16
CUST_00004_C1,CUST_00004,16,2025-08-21,1320529,0.7313,0.1146,19
CUST_00004_C1,CUST_00004,17,2025-09-21,1277558,0.8305,0.3057,17
CUST_00004_C1,CUST_00004,18,2025-10-21,1301703,0.6602,0.1273,19
CUST_00004_C1,CUST_00004,19,2025-11-21,1290127,0.7281,0.1187,16
CUST_00004_C1,CUST_00004,20,2025-12-21,1264814,0.7082,0.221,14
CUST_00004_C1,CUST_00004,21,2026-01-21,1402051,0.8825,0.2592,21
CUST_00004_C1,CUST_00004,22,2026-02-21,1360833,0.7151,0.0764,14
CUST_00004_C1,CUST_00004,23,2026-03-21,1429635,0.8176,0.1836,23
CUST_00004_C1,CUST_00004,24,2026-04-21,1437495,0.8997,0.2222,13
CUST_00004_C2,CUST_00004,1,2026-05-22,952443,0.9667,0.2398,21
CUST_00004_C2,CUST_00004,2,2026-06-22,1080334,0.7383,0.2154,30
CUST_00004_C2,CUST_00004,3,2026-07-22,1036740,0.8503,0.1891,14
CUST_00004_C2,CUST_00004,4,2026-08-22,1073718,0.8336,0.2383,22
CUST_00004_C2,CUST_00004,5,2026-09-22,1024353,0.7283,0.1218,14
CUST_00004_C2,CUST_00004,6,2026-10-22,1055531,0.858,0.2279,35
CUST_00004_C2,CUST_00004,7,2026-11-22,1035763,0.8231,0.169,25
CUST_00004_C2,CUST_00004,8,2026-12-22,1000440,0.6299,0.1928,25
