contract_id,customer_id,month_index,month_date,ticket_count,resolved_count,unresolved_count,total_resolution_hours,had_qbr
CUST_00000_C1,CUST_00000,1,2024-07-04,4,2,2,73.1,False
CUST_00000_C1,CUST_00000,2,2024-08-04,5,5,0,240.2,False
CUST_00000_C1,CUST_00000,3,2024-09-04,3,2,1,51.2,False
CUST_00000_C1,CUST_00000,4,2024-10-04,2,2,0,109.2,False
CUST_00000_C1,CUST_00000,5,2024-11-04,0,0,0,0.0,False
CUST_00000_C1,CUST_00000,6,2024-12-04,4,3,1,116.1,True
CUST_00000_C1,CUST_00000,7,2025-01-04,4,3,1,169.5,False
CUST_00000_C1,CUST_00000,8,2025-02-04,4,2,2,134.1,False
CUST_00000_C1,CUST_00000,9,2025-03-04,8,6,2,257.1,False
CUST_00000_C1,CUST_00000,10,2025-04-04,2,2,0,49.4,False
CUST_00000_C1,CUST_00000,11,2025-05-04,1,1,0,82.7,False
CUST_00000_C1,CUST_00000,12,2025-06-04,3,3,0,80.9,True
CUST_00001_C1,CUST_00001,1,2022-06-01,1,1,0,35.5,False
CUST_00001_C1,CUST_00001,2,2022-07-01,3,2,1,77.5,False
CUST_00001_C1,CUST_00001,3,2022-08-01,2,1,1,85.6,False
CUST_00001_C1,CUST_00001,4,2022-09-01,2,2,0,134.9,False
CUST_00001_C1,CUST_00001,5,2022-10-01,1,1,0,27.9,False
CUST_00001_C1,CUST_00001,6,2022-11-01,3,2,1,57.4,True
CUST_00001_C1,CUST_00001,7,2022-12-01,5,5,0,193.7,False
CUST_00001_C1,CUST_00001,8,2023-01-01,3,3,0,208.4,False
CUST_00001_C1,CUST_00001,9,2023-02-01,3,3,0,76.7,False
CUST_00001_C1,CUST_00001,10,2023-03-01,7,3,4,105.1,False
CUST_00001_C1,CUST_00001,11,2023-04-01,5,4,1,157.1,False
CUST_00001_C1,CUST_00001,12,2023-05-01,1,1,0,146.9,False
CUST_00002_C1,CUST_00002,1,2022-10-20,1,1,0,162.4,False
CUST_00002_C1,CUST_00002,2,2022-11-20,4,2,2,321.4,False
CUST_00002_C1,CUST_00002,3,2022-12-20,3,2,1,148.6,False
CUST_00002_C1,CUST_00002,4,2023-01-20,0,0,0,0.0,False
CUST_00002_C1,CUST_00002,5,2023-02-20,5,5,0,231.5,False
CUST_00002_C1,CUST_00002,6,2023-03-20,4,3,1,142.2,True
CUST_00002_C1,CUST_00002,7,2023-04-20,2,1,1,19.3,False
CUST_00002_C1,CUST_00002,8,2023-05-20,2,2,0,251.1,False
CUST_00002_C1,CUST_00002,9,2023-06-20,3,3,0,122.9,False
CUST_00002_C1,CUST_00002,10,2023-07-20,0,0,0,0.0,False
CUST_00002_C1,CUST_00002,11,2023-08-20,1,1,0,109.3,False
CUST_00002_C1,CUST_00002,12,2023-09-20,3,3,0,157.1,True
CUST_00002_C1,CUST_00002,13,2023-10-20,4,4,0,180.2,False
CUST_00002_C1,CUST_00002,14,2023-11-20,3,3,0,239.8,False
CUST_00002_C1,CUST_00002,15,2023-12-20,2,2,0,108.9,False
CUST_00002_C1,CUST_00002,16,2024-01-20,4,4,0,153.5,False
CUST_00002_C1,CUST_00002,17,2024-02-20,5,5,0,278.8,False
CUST_00002_C1,CUST_00002,18,2024-03-20,3,3,0,106.1,True
